=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler UL-nonWPuschBler
20230213.175040.886873 49.568611 198.9 4.7 26.3 26.2 
20230213.175050.887002 0.011560 18.7 23.6 0.0 0.0 
20230213.175100.887158 20.589924 180.2 5.3 25.9 26.1 
20230213.175110.887270 0.000013 1.0 23.0 0.0 80.0 
20230213.175120.887415 0.000206 2.2 9.0 0.0 0.0 
20230213.175130.887556 0.010237 1.0 23.7 0.0 0.0 
20230213.175140.887725 316.250214 195.6 26.0 0.0 0.0 
20230213.175150.887875 289.261047 197.8 26.0 0.0 0.0 
20230213.175200.888010 335.284332 198.0 26.0 0.0 0.0 
20230213.175210.888138 210.676559 197.7 26.0 0.0 0.0 
20230213.175220.888277 234.589142 197.8 26.0 0.0 0.0 
20230213.175230.888430 310.171265 198.0 26.0 0.0 0.0 
20230213.175240.888535 0.000013 1.0 26.0 0.0 80.0 
20230213.175250.888679 0.000206 2.5 9.0 0.0 10.0 
20230213.175300.888838 167.624481 197.6 24.7 0.0 0.0 
20230213.175310.888992 74.001991 198.9 6.9 23.8 24.0 
20230213.175320.889109 6.263080 197.6 5.9 13.3 12.5 
20230213.175340.889380 0.000293 2.4 9.0 0.0 7.1 
20230213.175350.889519 0.000238 4.0 9.0 0.0 0.0 
20230213.175400.889689 123.948105 110.3 25.0 0.1 0.1 
20230213.175410.889836 334.570038 198.0 26.0 0.0 0.0 
20230213.175420.889980 335.068909 198.0 26.0 0.0 0.0 
20230213.175430.890128 333.882599 198.0 26.0 0.0 0.0 
20230213.175440.890265 334.196686 198.0 26.0 0.1 0.1 
20230213.175450.890407 334.281372 198.0 26.0 0.0 0.0 
20230213.175500.890543 334.437500 198.0 26.0 0.0 0.0 
20230213.175510.890686 335.355621 198.0 26.0 0.0 0.0 
20230213.175520.890829 333.481628 198.0 26.0 0.0 0.0 
20230213.175530.890965 335.064758 198.0 26.0 0.0 0.0 
20230213.175540.891108 334.752716 198.0 26.0 0.0 0.0 
20230213.175550.891259 333.724548 198.0 26.0 0.0 0.0 
20230213.175600.891401 334.873993 198.0 26.0 0.0 0.0 
20230213.175610.891537 334.311951 198.0 26.0 0.0 0.0 
20230213.175620.891671 334.369171 198.0 26.0 0.0 0.0 
20230213.175630.891826 334.350891 198.0 26.0 0.0 0.0 
20230213.175640.891951 229.442459 176.5 26.0 0.0 0.0 
20230213.175650.892083 153.612823 197.7 26.0 0.1 0.1 
20230213.175700.892238 334.679504 198.0 26.0 0.0 0.0 
20230213.175710.892399 334.978577 198.0 26.0 0.0 0.0 
20230213.175720.892518 334.954865 198.0 26.0 0.0 0.0 
20230213.175730.892657 333.747131 198.0 26.0 0.0 0.0 
20230213.175740.892801 335.120178 198.0 26.0 0.0 0.0 
20230213.175750.892955 333.720062 198.0 26.0 0.0 0.0 
20230213.175800.893089 334.147736 198.0 26.0 0.0 0.0 
20230213.175810.893224 334.468018 198.0 26.0 0.0 0.0 
20230213.175820.893355 170.953659 171.2 26.0 0.0 0.0 
20230213.175830.893501 255.963654 197.8 26.0 0.0 0.0 
20230213.175840.893632 229.474884 197.9 26.0 0.0 0.0 
20230213.175900.893894 0.000013 1.0 26.0 0.0 80.0 
20230213.175910.894033 0.000088 1.7 9.0 0.0 0.0 
20230213.175940.894473 0.000013 1.0 9.0 0.0 80.0 
20230213.180000.894744 0.000101 1.5 9.0 0.0 60.0 
20230213.180010.894875 0.000206 2.2 9.0 0.0 0.0 
20230213.180020.895041 206.850555 197.7 24.9 0.1 0.1 
20230213.180030.895202 333.718628 198.0 26.0 0.0 0.0 
20230213.180040.895333 335.813751 198.0 26.0 0.0 0.0 
20230213.180050.895475 114.169289 198.5 10.2 23.1 23.5 
20230213.180100.895615 0.739264 198.7 0.0 37.3 37.3 
20230213.180110.895766 2.981342 198.8 0.0 38.0 38.0 
20230213.180120.895895 2.790588 198.8 0.0 38.5 38.5 
20230213.180130.896034 0.171081 198.8 0.0 38.5 38.5 
20230213.180140.896178 2.973181 198.8 0.0 37.9 37.9 
20230213.180150.896317 2.543721 198.8 0.0 37.6 37.6 
20230213.180200.896460 2.493746 198.8 0.0 37.6 37.6 
20230213.180210.896609 0.921845 198.8 0.0 37.6 37.5 
20230213.180220.896740 2.445812 198.8 0.0 38.2 38.2 
20230213.180230.896884 3.029273 198.8 0.0 38.4 38.4 
20230213.180240.897022 0.467856 198.8 0.0 38.5 38.5 
20230213.180250.897161 5.194846 198.8 0.0 38.5 38.5 
20230213.180300.897301 0.725799 198.6 1.1 33.4 32.7 
