datettime              Tput   RbNum MCS PdschBler nonWPdschBler
20221018.165827.406842 0.030045 1.7 26.0 0.0 0.0 
20221018.165827.406851 0.020167 1.4 26.0 0.0 0.0 
20221018.165827.406864 0.089867 1.2 26.0 0.0 0.0 
20221018.165827.406873 0.008403 1.1 26.0 5.0 1.2 
20221018.165827.406882 0.035424 1.4 26.0 0.0 0.0 
20221018.165837.407001 0.000079 1.0 26.0 0.0 50.0 
20221018.165847.407158 0.000177 1.0 26.0 0.0 42.9 
20221018.165847.407173 0.000220 1.0 24.2 31.0 97.0 
20221018.165847.407184 0.000321 1.0 26.0 0.0 54.5 
20221018.165857.407322 0.000159 1.0 26.0 0.0 40.0 
20221018.165857.407332 0.000310 1.0 22.0 0.0 40.0 
20221018.165857.407341 0.000159 1.0 26.0 0.0 50.0 
20221018.165857.407352 0.000163 1.0 26.0 0.0 57.1 
20221018.165907.407496 0.000009 1.0 26.0 0.0 100.0 
20221018.165907.407511 0.099207 1.4 21.8 4.5 0.1 
20221018.165907.407521 0.000159 1.0 26.0 0.0 50.0 
20221018.165907.407532 0.000247 1.0 26.0 0.0 42.9 
20221018.165907.407542 0.027391 3.8 10.1 1.0 0.7 
20221018.165917.407671 0.000009 1.0 24.0 0.0 50.0 
20221018.165917.407684 0.089748 1.2 26.0 0.0 0.0 
20221018.165917.407694 0.000079 1.0 26.0 0.0 50.0 
20221018.165917.407706 0.039428 1.6 19.1 0.0 0.0 
20221018.165927.407831 0.000159 1.0 26.0 0.0 50.0 
20221018.165927.407845 0.101149 1.3 26.0 0.6 0.6 
20221018.165927.407854 0.000238 1.0 26.0 0.0 50.0 
20221018.165927.407864 0.007809 1.1 26.0 0.0 2.2 
20221018.165927.407875 0.000117 2.2 9.0 0.0 20.0 
20221018.165937.408001 0.000164 1.0 26.0 0.0 90.0 
20221018.165937.408013 0.077370 1.7 26.0 2.6 4.5 
20221018.165937.408032 0.000159 1.0 26.0 0.0 50.0 
20221018.165937.408041 0.000079 1.0 26.0 0.0 75.0 
20221018.165937.408050 0.000059 1.0 9.0 0.0 40.0 
20221018.165937.408058 0.000095 3.0 9.0 0.0 0.0 
20221018.165937.408067 0.000330 2.4 9.0 0.0 25.0 
20221018.165947.408174 0.000009 1.0 26.0 0.0 50.0 
20221018.165947.408185 0.000159 1.0 26.0 0.0 50.0 
20221018.165947.408194 0.000238 1.0 26.0 0.0 50.0 
20221018.165947.408203 0.001039 4.4 9.0 0.0 20.0 
20221018.165947.408212 0.000079 2.0 9.0 0.0 50.0 
20221018.165957.408345 0.000087 1.0 26.0 0.0 66.7 
20221018.165957.408358 0.060293 4.1 10.8 1.7 0.4 
20221018.170007.408511 0.000314 1.0 26.0 0.0 44.4 
20221018.170007.408523 0.100179 2.1 21.7 0.0 0.8 
20221018.170007.408533 0.000159 2.0 9.0 0.0 50.0 
20221018.170007.408542 0.000250 2.5 9.0 0.0 16.7 
20221018.170017.408668 0.000191 1.0 26.0 0.0 22.2 
20221018.170017.408678 0.030357 2.2 26.0 8.0 3.4 
20221018.170017.408688 0.000079 1.2 9.0 0.0 20.0 
20221018.170017.408696 0.000079 1.2 9.0 0.0 25.0 
20221018.170017.408705 0.000159 1.2 9.0 0.0 25.0 
20221018.170027.408850 0.000159 1.0 26.0 0.0 50.0 
20221018.170027.408862 0.000000 1.5 18.6 62.0 98.9 
20221018.170027.408872 0.000025 1.0 26.0 0.0 33.3 
20221018.170027.408881 0.000009 1.0 9.0 0.0 100.0 
20221018.170027.408890 0.000138 3.7 9.0 0.0 0.0 
20221018.170037.409012 0.000009 1.0 26.0 16.0 100.0 
20221018.170037.409024 0.000079 2.0 12.0 0.0 50.0 
20221018.170037.409034 0.000009 1.0 26.0 0.0 100.0 
20221018.170037.409043 0.000009 1.0 9.0 0.0 75.0 
20221018.170037.409051 0.000130 3.7 9.0 0.0 0.0 
20221018.170037.409060 0.000130 3.7 9.0 0.0 0.0 
20221018.170047.409181 0.000238 2.0 12.0 0.0 50.0 
20221018.170047.409192 0.000168 1.3 9.0 0.0 28.6 
20221018.170047.409201 0.000159 2.0 9.0 0.0 50.0 
20221018.170047.409210 0.000235 2.4 9.0 0.0 0.0 
20221018.170057.409351 0.000159 1.0 26.0 0.0 50.0 
20221018.170057.409360 0.000159 1.6 9.0 0.0 40.0 
20221018.170057.409369 0.000159 2.0 9.0 0.0 50.0 
20221018.170057.409379 0.000238 2.0 9.0 0.0 50.0 
20221018.170057.409387 0.000098 1.2 9.0 0.0 25.0 
20221018.170057.409397 0.041436 4.4 10.3 2.0 2.1 
20221018.170107.409529 0.000159 1.0 26.0 0.0 50.0 
20221018.170107.409548 0.000079 2.0 9.0 0.0 50.0 
20221018.170107.409556 0.000238 2.0 9.0 0.0 50.0 
20221018.170107.409567 0.117652 2.1 21.3 0.0 0.0 
20221018.170117.409690 0.000098 1.2 12.0 0.0 25.0 
20221018.170117.409712 0.004945 1.2 26.0 0.0 6.8 
20221018.170117.409723 0.019341 1.9 11.3 0.0 0.0 
20221018.170127.409856 0.000256 1.6 12.0 0.0 33.3 
20221018.170127.409866 0.000159 1.6 9.0 0.0 40.0 
20221018.170127.409875 0.000159 2.0 9.0 0.0 50.0 
20221018.170127.409888 0.220016 2.2 22.1 1.9 1.8 
20221018.170137.410022 0.000174 1.0 25.3 25.0 80.0 
20221018.170137.410032 0.000159 2.0 9.0 0.0 50.0 
20221018.170137.410040 0.000159 2.0 9.0 0.0 50.0 
20221018.170137.410049 0.000238 2.0 9.0 0.0 50.0 
20221018.170137.410057 0.000079 2.0 9.0 0.0 50.0 
20221018.170137.410070 0.097089 1.0 26.0 0.0 0.0 
20221018.170147.410190 0.000174 1.0 24.0 0.0 66.7 
20221018.170147.410201 0.000079 2.0 9.0 0.0 50.0 
20221018.170147.410211 0.068761 5.2 10.6 3.5 0.8 
20221018.170147.410225 0.096878 1.0 26.0 0.0 0.0 
20221018.170157.410370 0.057164 2.0 23.7 6.5 0.5 
20221018.170157.410393 0.000098 1.2 12.0 0.0 20.0 
20221018.170157.410403 0.000169 1.1 9.0 0.0 92.9 
20221018.170157.410412 0.000500 1.8 9.0 0.0 12.5 
20221018.170157.410424 0.112164 1.5 21.1 4.1 4.3 
